# Server version 0.08 running on 192.168.2.16:8124
# Game ID: 1410
# Board class: bohnenspiel.BohnenspielBoard
# Timeout: 700
# First Move Timeout: 30000
# Date: Sun Apr 09 16:12:10 EDT 2017
# Player 1: Player-0, 'GreedyPlayer', running on localhost
# Player 2: Player-1, '260580792', running on localhost
START Player-0 GreedyPlayer
START Player-1 260580792
PIT 0 0
PIT 1 2
PIT 0 5
PIT 1 1
PIT 0 0
PIT 0 1
PIT 1 4
PIT 0 2
PIT 1 3
PIT 0 3
PIT 1 5
PIT 0 2
PIT 0 5
PIT 1 1
PIT 0 4
PIT 1 3
PIT 0 0
PIT 1 1
PIT 0 2
PIT 1 5
PIT 0 0
PIT 1 0
PIT 0 1
PIT 1 5
PIT 0 4
GAMEOVER WINNER 1         Player-0 score: 30  Player-1 score: 42
# Game ended: Sun Apr 09 16:12:12 EDT 2017
